"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"11270
Spring
2026",MCC257,E,,"Media and Multicultural Society
メディアと多文化社会
1/TU,2/TU
T-229",Face to Face,"TSE, Yu-Kei",2
"11271
Spring
2026",MCC273,E,,"Intercultural Communication
異文化コミュニケーション
*5/M,*5/TH
H-305","(150)
Face to Face","HONG, Seung Min",3
"11272
Spring
2026
[change]
2026/03/02",MCC331,E,,"Advanced Interpreting Practice
実践通訳上級
*5/M,*5/TH
I-103","(44)
Face to Face","TAMURA, Tomoko",3
"11273
Spring
2026",MCC372,J,,"Humanistic Approaches to Communication
コミュニケーション学の人文学的アプローチ
*4/M,*4/TH
H-123",Face to Face,"AONUMA, Satoru",3
"11274
Spring
2026
[change]
2026/02/16",MCC384,E,,"Advanced Studies in Media Studies
メディア論特別研究
*4/M,*4/TH
T-229",Face to Face,"TSE, Yu-Kei",3
"11275
Spring
2026
[change]
2026/03/03",MUS104,J,,"Music in the European Tradition I
西洋の音楽 I
2/TH,3/TH
H-401","(180)
Face to Face","TAGAWA, Mayu",2
"11276
Spring
2026",MUS105,J,,"Basic Theory of Music I
基礎音楽理論 I
5/M,6/M
H-401","(180)
Face to Face","TAMURA, Harumi",2
"11277
Spring
2026",MUS212,E,,"Music of Modern Japan
近現代日本の音楽
*4/M,*4/TH
H-401",Face to Face,"GILLAN, Matthew A.",3
"11278
Spring
2026
[change]
2026/03/03",MUS213,J,,"Contemporary Media and Music
現代メディアと音楽
5/W,6/W
H-125",Face to Face,"CHOKI, Seiji",2
"11279
Spring
2026",MUS214,J,,"Studies in Music Performance I
音楽演奏研究 I
5/W,6/W
H-401",Face to Face,"HATANO, Mutsumi",2
"11280
Spring
2026",MUS381,E,,"Music Fieldwork Theory and Practice
音楽フィールドワーク：理論と実践
*5/M,*5/TH
H-375",Face to Face,"GILLAN, Matthew A.",3
"11281
Spring
2026",PCS201,E,,"Peace and Human Rights
平和と人権
5/M,6/M
H-173",Face to Face,"AKIYAMA, Hajime",2
"11282
Spring
2026",PHR106,E,,"Introduction to Philosophy
哲学概論
3/TU,2/TH,3/TH
H-274","(180)
Face to Face","ALBERG, Jeremiah L.",3
"11283
Spring
2026",PHR107,J,,"Introduction to Religious Studies
宗教学概論
2/M,2/W,2/F
H-173","(180)
Face to Face","NAMIKI, Eiko",3
"11284
Spring
2026
[change]
2026/02/27",PHR115,J,,"Logic
論理学
5/TH,6/TH
H-173","(180)
Face to Face","YOTSU, Masahide",2
"11285
Spring
2026",PHR223,E,,"History of Ancient and Medieval Philosophy
古代・中世哲学史
1/M,1/W,1/F
H-305",Face to Face,"SANO, Yoshinori",3
"11286
Spring
2026",PHR226,J,,"Old Testament Hebrew
旧約ヘブライ語
*5/M,*5/TH
T-249",Face to Face,"RO, Johannes Unsok",3
"11287
Spring
2026",PHR232,J,,"Survey of the New Testament
新約聖書学概観
*5/W,*5/F
T-112",Face to Face,"YAKIYAMA, Mariko",3
"11288
Spring
2026
[change]
2026/03/06",PHR235,E,,"History of Islam
イスラム教史
*5/W,*5/F",Face to Face,"ESKILDSEN, Stephen Edward",3
"11289
Spring
2026",PHR238,J,,"Interpretations and Ethics in the New Testament
新約聖書の解釈と倫理
1/TU,2/TU,1/TH
H-205",Face to Face,"YAKIYAMA, Mariko",3
"11290
Spring
2026",PHR245,E,,"Christian Theology
キリスト教神学
2/M,2/W,2/F
T-250",Face to Face,"MCGLOTHLIN, Thomas Dwight",3
"11291
Spring
2026",PHR384,J,,"Seminar in Contemporary Philosophy
現代哲学史研究
2/M,2/W,2/F
H-274",Face to Face,"TAMURA, Miki",3
"11292
Spring
2026",PHR385,E,,"Seminar in Systematic Theology
組織神学研究
*4/M,*4/TH
H-104A",Face to Face,"MCGLOTHLIN, Thomas Dwight",3
"11293
Spring
2026
[change]
2026/03/03",PHY105,J,,"Foundation of Physics Laboratory
基礎物理学実験
5/TH,(6/TH,7/TH)
T-166","(180)
Face to Face","OKANO, Ken/KAKINUMA, Toru",2
"11294
Spring
2026",PHY106,J,,"Hot Topics in Physics
最先端の物理学
3/W,3/F
H-258","(180)
Face to Face","HITZER, Eckhard/YAMAZAKI, Rekishu/SHINDO, Tetsuo/OKANO, Ken/ISHIGAKI, Miho",2
"11295
Spring
2026
[change]
2026/03/03",PHY107,J,,"Introduction to Crafting
モノづくり入門
5/F,(6/F,7/F)
T-110","(16)
Face to Face","YAMAZAKI, Rekishu/KABURAGI, Takashi/OHTA, Keiji/KAMATA, Masahiro",2
"11296
Spring
2026",PHY201,E,,"Mathematics for Natural Scientists
自然科学のための数学
1/TU,2/TU
H-302",Face to Face,"HITZER, Eckhard",2
"11297
Spring
2026
[change]
2026/03/03",PHY211,J,,"Laboratory in Optics
光学実験
5/M,(6/M,7/M)
T-166",Face to Face,"KAMATA, Masahiro",2
"11298
Spring
2026",PHY221,J,,"Electricity and Magnetism
電磁気学
1/TU,2/TU,(2/TH,3/TH)
T-249",Face to Face,"YOKOJIMA, Satoshi/SHINDO, Tetsuo",3
"11299
Spring
2026",PHY231,J,,"Modern Physics
現代物理学
2/TH,3/TH
T-113",Face to Face,"TEZUKA, Ayako",2
"11300
Spring
2026",PHY381,J,,"Analytical Mechanics and Relativity
解析力学と相対性理論
5/F,6/F
T-249",Face to Face,"KOTANI, Taro",2
"11301
Spring
2026",PHY385,J,A,"Special Studies in Physics A
物理学特論 A
6/SA,7/SA
H-123",Face to Face,"OKANO, Ken",2
"11302
Spring
2026",PHY385,J,B,"Special Studies in Physics A
物理学特論 A
6/SA,7/SA
H-124",Face to Face,"SHINDO, Tetsuo",2
"11303
Spring
2026",POL101,E,,"Introduction to Political Methodology
政治学方法論入門
3/TU,2/TH,3/TH
H-155","(180)
Face to Face","COLLET, Christian",3
"11304
Spring
2026",POL103,J,,"Introduction to Political Science
政治学概論
*4/M,*4/TH
H-223","(180)
Face to Face","KOO, Yoojin",3
"11305
Spring
2026",POL211,J,,"History of Western Political Thought I
西欧政治思想史 I
5/TU,6/TU
H-205",Face to Face,"KONDO, Kazutaka",2
"11306
Spring
2026",POL216,J,,"History of Japanese Political Thought
日本政治思想史
5/M,6/M
H-258",Face to Face,"OKUBO, Takeharu",2
"11307
Spring
2026",POL236,E,,"Public Opinion
世論研究
1/TU,2/TU,1/TH
H-260",Face to Face,"COLLET, Christian",3
"11308
Spring
2026",POL331,J,,"Global Justice
グローバル社会正義論
5/W,6/W
H-274",Face to Face,"OSHIMURA, Takashi",2
"11309
Spring
2026",POL383,J,,"Advanced Studies in Political Science III
政治学特別研究 III
*5/W,*5/F
T-343",Face to Face,"TAKAMATSU, Kana",3
"11310
Spring
2026",PSY101,J,,"Educational Psychology
教育心理学
5/TH,6/TH
T-229","(180)
Face to Face","HAGIWARA, Chiaki",2
"11311
Spring
2026
[change]
2026/02/20",PSY103,J,,"Introduction to Contemporary Psychology
現代心理学入門
3/M,3/W,3/F
T-171","(180)
Face to Face","NAOI, Nozomi/NISHIMURA, Kaoru",3
"11312
Spring
2026
[change]
2026/03/02",PSY221,J,,"Experimental Research Method in Psychology
心理学実験
*4/M,*4/TH
I-212","(63)
Face to Face","NAOI, Nozomi",3
"11313
Spring
2026",PSY261,E,,"Psychology of Cultural and Human Diversity
文化と心理学
5/M,6/M,7/M
T-229",Face to Face,"KAVANAGH, Christopher Michael",3
"11314
Spring
2026
[change]
2026/01/29",PSY262,J,,"Social Psychology
社会心理学
2/M,2/W,2/F",,"MIYAKAWA, Erika",3
"11315
Spring
2026",PSY271,J,,"Clinical Psychology
臨床心理学
1/TU,2/TU,1/TH
H-323",Face to Face,"NISHIMURA, Kaoru",3
"11316
Spring
2026",PSY273,E,,"Mental Health
精神保健
2/M,2/W,2/F
T-270",Face to Face,"CHAN, Christian",3
"11317
Spring
2026",PSY321,E,,"Multivariate Statistics in Psychology
多変量解析
5/W,6/W
H-123",Face to Face,"CHAN, Christian",2
"11318
Spring
2026",PSY342,E,,"Studies in Psychology of Language
言語心理学研究
1/TU,2/TU
H-305",Face to Face,"SUDO, Mioko",2
"11319
Spring
2026",PPL101,E,,"Introduction to Policy Analysis
政策分析入門
3/TU,2/TH,3/TH
H-157","(180)
Face to Face","PORTEUX, J. Nathaniel",3
"11320
Spring
2026",PPL203,E,,"Comparative Political Institutions
比較政治制度論
1/TU,2/TU,1/TH
H-102",Face to Face,"PORTEUX, J. Nathaniel",3
"11321
Spring
2026
[change]
2026/02/27",PPL206,E,,"Regionalism in East Asia
東アジアの地域主義
3/TU,2/TH,3/TH",Face to Face,"NAGY, Stephen R.",3
"11322
Spring
2026
[change]
2026/03/13",SOC102,E,B,"Principles of Sociology
社会学原論
3/TU,2/TH,3/TH
H-151","(180)
Face to Face","KIM, Allen",3
"11323
Spring
2026",SOC102,J,A,"Principles of Sociology
社会学原論
5/TH,6/TH,7/TH
T-171","(180)
Face to Face","NAKANO, Yuichi",3
"11324
Spring
2026",SOC103,J,,"Approaches to Sociological Research
社会学的研究へのアプローチ
3/TU,2/TH,3/TH
H-102","(180)
Face to Face","NA, Ildeung",3
"11325
Spring
2026",SOC205,E,,"Introduction to Japanese Society
日本社会入門
*4/M,*4/TH
H-274",Face to Face,"MOROI, Yuichi",3
"11326
Spring
2026",SOC211,E,A,"Sociology of the Family
家族社会学
1/TU,2/TU,1/TH
H-173",Face to Face,"KIM, Allen",3
"11327
Spring
2026",SOC211,J,B,"Sociology of the Family
家族社会学
5/W,6/W,7/W
H-205",Face to Face,"KUBOTA, Hiroyuki",3
"11328
Spring
2026",SOC212,J,,"Urban Sociology
都市社会学
5/W,6/W,7/W
H-224",Face to Face,"NAKANO, Yuichi",3
"11329
Spring
2026",SOC302,J,,"Qualitative Analysis in Sociology I
質的社会学分析 I
*4/M,*4/TH
H-105",Face to Face,"YAMAGUCHI, Tomiko",3
"11330
Spring
2026
[change]
2026/03/02",SOC304,J,,"Quantitative Analysis in Sociology I
計量社会学分析 I
*5/M,*5/TH
I-206","(50)
Face to Face","NA, Ildeung",3
"11331
Spring
2026",SOC309,J,,"Sociology of Science and Technology
科学技術社会学
*5/M,*5/TH
H-105",Face to Face,"YAMAGUCHI, Tomiko",3
"11332
Spring
2026
[change]
2026/03/02",ISC221,J,,"Algorithms and Data Structures
アルゴリズムとデータ構造
5/TU,(6/TU,7/TU)
I-206","(50)
Face to Face","ANDO, Kenichiro",2
"11333
Spring
2026
[change]
2026/02/06",HST331,J,,"Advanced Studies in Asian Social History
アジア社会史特別研究
*5/W,*5/F
H-308",Face to Face,"TAKANO, Minoru",3
"11334
Spring
2026
[change]
2026/02/06",HST265,J,,"Japan in Asia
アジアのなかの日本
1/TU,2/TU
H-275",Face to Face,"TAKANO, Minoru",2
"11335
Spring
2026
[change]
2026/02/10",POL215,J,,"Political Theory
政治理論
5/W,6/W,7/W
H-276",Face to Face,"OBA, Dai",3
"11336
Spring
2026
[change]
2026/03/02",PCS101,E,,"Peace Studies I
平和研究 I
5/TH,6/TH,7/TH
H-151","(180)
Face to Face","SASAKI, Moe",3
"11337
Spring
2026
[change]
2026/03/06",PHR382,J,,"Seminar in Eastern Thought
東洋思想研究
*5/W,*5/F
H-275",Face to Face,"ESKILDSEN, Stephen Edward",3
"12001
Spring
2026",QAMT000,,,"Master Thesis
修士論文",,STAFF,0
"12002
Spring
2026",QALL402,E,,"Field Research and Professional Learning
現場実習による専門学習
(4/M,5/M)
T-113",Face to Face,"BROWN, Bernardo Enrique/WANG, Mu-Yun",2
"12003
Spring
2026",QALL407,E,,"Academic English (S)
アカデミック・イングリッシュ(S)
3/M,3/W
H-252
(Enroll 10) Those who are selected by ELA Office and GSG can take this course.",Face to Face,"EDWARDS, Susan",2
"12004
Spring
2026",QALL410,E,,"Academic English for Research(S)
研究のためのアカデミック・イングリッシュ(S)
3/M,3/W
H-253
(Enroll 10) Those who are selected by ELA Office and GSG can take this course.",Face to Face,"COUSINS, Emily Y.",2
"12005
Spring
2026",QALL411,E,,"Academic Writing (S)
アカデミック・ライティング(S)
(5/W,6/W,7/W)
H-106A
(Enroll 8) Those who are selected by GSG can take this course. Sign up in the prescribed way by 15:00, April 16, 2026.",Face to Face,"FUKAO, Akiko",2
"12101
Spring
2026",QEFD404,J,,"General Linguistics
一般言語学
5/TU,6/TU,7/TU
H-375",Face to Face,"SHINAGAWA, Daisuke",3
"12102
Spring
2026",QEFD414,J,,"Special Study in School Clinical Psychology
学校臨床心理学特論
2/TH,3/TH
H-323",Face to Face,"NISHIMURA, Kaoru",2
"12103
Spring
2026",QEFD418,E,,"Research Methods in Education I
教育研究法 I
3/M,3/W,3/F
H-204",Face to Face,"HOWARD, Craig Dennis",3
"12104
Spring
2026
[change]
2026/03/02",QEFD419,E,,"Research Methods in Education II
教育研究法 II
2/TH,3/TH
I-212",Face to Face,"NISHIMURA, Mikiko",2
"12105
Spring
2026",QEFD423,E,,"Seminar in Cognitive Psychology
認知心理学セミナー
3/M,3/W,3/F
H-206",Face to Face,"SUDO, Mioko",3
"12106
Spring
2026",QEFD424,E,,"Introduction to IB Programmes
国際バカロレア教育入門
1/TU,2/TU
T-112",Face to Face,"KOMATSU, Maki",2
"12107
Spring
2026",QEED501,E,,"Analysis of Japanese Educational History in the Context the Nation's Development
日本教育史の開発学的分析
5/TU,6/TU
H-103",Face to Face,"KAYASHIMA, Nobuko",2
"12108
Spring
2026",QEED502,J,,"Christianity and Educational Development (Seminar)
キリスト教と教育発展（演習）
5/F,6/F
T-250",Face to Face,"OKAWA, Hiroshi",2
"12109
Spring
2026",QEED526,E,,"Seminar in Philosophy of IB Education: MYP
IB教育哲学演習：MYP
1/W,1/F
H-104A",Face to Face,"KOMATSU, Maki",2
"12110
Spring
2026",QEED527,E,,"Seminar in Philosophy of IB Education: DP
IB教育哲学演習：DP
2/W,2/F
H-104A",Face to Face,"KOMATSU, Maki",2
"12111
Spring
2026",QEED528,E,,"Teaching Practicum in IB World School
IB認定校での教育実習",Face to Face,"FUJII, Akiko/KOMATSU, Maki",2
"12112
Spring
2026
[change]
2026/02/20",QEPS502,J,,"Directed Research Seminar in Psychology I
心理学特別研究 I
5/M,6/M
H-108",Face to Face,"NAOI, Nozomi/NISHIMURA, Kaoru",1
"12113
Spring
2026",QEPS509,E,,"Psychology of Language
言語心理学
2/M,3/M
H-104A",Face to Face,"MORISHIMA, Yasunori",2
"12114
Spring
2026",QEPS601,E,,"Directed Research Seminar in Psychology III
心理学特別研究 III
5/M,6/M
H-276",Face to Face,"CHAN, Christian/SUDO, Mioko",1
"12115
Spring
2026",QELE502,E,,"English Linguistics
英語学
5/TH,6/TH,7/TH
H-201",Face to Face,"MIZUTA, Yoko",3
"12116
Spring
2026",QELE504,J,,"Japanese Linguistics
日本語学
2/TH,3/TH
H-252",Face to Face,"ISHIGURO, Kei",2
"12117
Spring
2026",QELE507,E,,"Middle English
中英語
5/F,6/F
H-324",Face to Face,"MIURA, Ayumi",2
"12118
Spring
2026",QEMR601,,,"Research I
専門研究 I
8/TU,8/W",,STAFF,2
"12201
Spring
2026",QPFD413,E,,"Modern Theory of Business
現代企業理論
4/W,5/W
H-107",Face to Face,"INABA, Yushi",2
"12202
Spring
2026
[change]
2026/02/12",QPFD437,E,,"Refugee and Forced Migration Studies I
難民・強制移動研究 I
2/TU,3/TU
H-104B",Face to Face,"OBI, Naoko",2
"12203
Spring
2026",QPPI503,E,,"Comparative Politics and Government
比較政治・行政論
5/W,6/W
H-106B",Face to Face,"KOO, Yoojin",2
"12204
Spring
2026",QPSC503,E,,"Politics and Culture
政治文化論
2/F,3/F
H-356",Face to Face,"MATSUNAGA, Yasuyuki",2
"12205
Spring
2026",QPSC504,E,,"Social and Cultural Analysis Special Course I
社会文化分析特講 I
4/TU,5/TU,6/TU
H-356",Face to Face,"YOKOYAMA, Shigeki",3
"12206
Spring
2026",QPPE505,E,,"International Corporate Finance II
国際企業財務 II
1/W,2/W
H-356",Face to Face,"KANEKO, Takuya",2
"12207
Spring
2026",QPPE519,E,,"Logistics/Operations Management
流通・オペレーション管理
5/TU,6/TU
H-308",Face to Face,"KANAZAWA, Yuichiro",2
"12208
Spring
2026",QPPE604,E,,"International Development Policy
国際開発政策
5/M,5/TH
H-103",Face to Face,"KONDO, Masanori",2
"12209
Spring
2026
[change]
2026/02/04",QPPS505,E,,"Human Rights I
人権論 I
5/F,6/F
H-123",Face to Face,"SATO, Yasunobu",2
"12210
Spring
2026",QPMR601,,,"Research I
専門研究 I
8/TU,8/W",,STAFF,2
"12301
Spring
2026",QCFD406,J,,"History of the West
西洋の歴史
5/F,6/F
H-103",Face to Face,"TAKESHITA, Kazuaki",2
"12302
Spring
2026",QCFD418,J,,"Thought of the East I
東洋の思想 I
5/TH,6/TH
H-153",Face to Face,"ESKILDSEN, Stephen Edward",2
"12303
Spring
2026",QCJC505,J,,"Japanese Language Culture I
日本言語文化論 I
5/M,6/M
H-355",Face to Face,"KOMORI, Yuri",2
"12304
Spring
2026",QCJC515,J,,"Politics and Culture in Early Modern Japan
近世日本の政治と文化
2/TU,3/TU
H-104A",Face to Face,"TSUBAKIDA, Yukiko",2
"12305
Spring
2026",QCAC515,J,,"Comparative Culture Research III
比較文化研究論 III
4/W,4/F
H-352",Face to Face,"TAMURA, Miki",2
"12306
Spring
2026",QCMR601,,,"Research I
専門研究 I
8/TU,8/W",,STAFF,2
"12326
Spring
2026",QCTS504,E,,"Transcultural Studies IV
超学域文化論 IV
2/F,3/F
H-104B",Face to Face,"SIMONS, Christopher E. J.",2
"12327
Spring
2026",QCTS513,E,,"Gender and Cultural Representations
ジェンダーと文化的表象
2/TH,3/TH
H-253",Face to Face,"AMMOUR-MAYEUR, Olivier",2
"12401
Spring
2026",QNFD403,E,,"Studies in Environmental Science
環境科学特別講義
5/W,6/W
T-342",Face to Face,"CHUN, Wang Jae/KAWANO, Yasuro/TSUNODA, Makoto",2
"12402
Spring
2026",QNMC501,E,,"Advanced Studies in Algebra and Geometry
代数と幾何特論
5/F,6/F
H-301",Face to Face,"KOBAYASHI, Masato",2
"12403
Spring
2026
[change]
2026/03/04",QNMC505,E,,"Advanced Studies in Mathematical Science I
数理科学特論 I
1/M,2/M
H-259",Face to Face,"DOU, Xiaoling",2
"12404
Spring
2026",QNMC506,E,,"Advanced Studies in Mathematical Science II
数理科学特論 II
2/F,3/F
T-343",Face to Face,"KABURAGI, Takashi",2
"12405
Spring
2026",QNMS505,E,,"Condensed Matter Physics
凝縮物性
1/M,2/M
T-249",Face to Face,"OKANO, Ken",2
"12406
Spring
2026",QNMS513,E,,"Computational Physics
計算機物理学
5/TH,6/TH
T-342",Face to Face,"HITZER, Eckhard",2
"12407
Spring
2026
[change]
2026/03/13",QNLS502,E,,"Advanced Studies in Biological Regulation II
生体制御特論 II
4/SA,5/SA
T-113",Face to Face,"KOSE, Hiroyuki",2
"12408
Spring
2026",QNMR601,E,,"Research I
専門研究 I
8/TU,8/W",,STAFF,2
"12501
Spring
2026",QARG888,,,"Research Guidance
研究指導",Face to Face,STAFF,0
"12502
Spring
2026
[change]
2026/02/27",QADT601,E,,"Techniques for Researchers I - Academic Presentations
研究者のための技法 I - アカデミック・プレゼンテーション
8/M",Face to Face,"DAWSON, Walter P./KAIZOJI, Taisei/RO, Johannes Unsok/MIZOGUCHI, Tsuyoshi/ISHIO, Yoshito",2
"12503
Spring
2026",QADT999,,,"Doctor Thesis
博士論文",,STAFF,0
"12504
Spring
2026",QADR601,,,"Advanced Research I
特別専門研究 I
6/SA,7/SA",,STAFF,2
